fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
"['b', 'c', 'f', 'g']->d",0.5876346879353391,0.32331200638302904,0.9911870831209924,0.44778254649499305,0.882689556509299,False,0.8242110375981438
"['c', 'e']->k",0.8126278849071504,0.7015882853264959,0.9958657473071074,0.32188841201716767,0.9470672389127325,False,0.8114458008955361
"['d', 'h', 'i']->c",0.6245186513791056,0.43072773499846945,0.9918051743651773,0.2689556509298997,0.8655221745350501,False,0.8057526376190207
"['b', 'g', 'h']->c",0.4916597576619094,0.3249718502980166,0.9947646443621687,0.28469241773962817,0.8240343347639485,False,0.7300154553007454
"['b', 'e', 'g']->i",0.4936830979909902,0.33097948593225085,0.9928530641566431,0.29470672389127317,0.8383404864091559,False,0.7283601770484729
"['d', 'f', 'g', 'h', 'i']->e",0.6195559756277349,0.3075566665112972,0.9909987904240883,0.49213161659513605,0.9227467811158798,False,0.8425002516313101
"['e', 'h']->k",0.7428088868419808,0.6249320855814327,0.99262383826476,0.2560801144492133,0.9298998569384835,False,0.7208568401805788
"['e', 'g']->k",0.8099444539838256,0.701299595004921,0.9951084831999935,0.301859799713877,0.9470672389127325,False,0.7982677174097851
"['b', 'd', 'e', 'g', 'i']->f",0.5467130633301664,0.2693096090409812,0.9906058317522887,0.5121602288984262,0.9012875536480687,False,0.8309518888955204
"['c', 'd', 'g']->j",0.4895314694091476,0.34384906234310564,0.9922185996344666,0.3791130185979973,0.9113018597997139,False,0.7002583469871632
"['d', 'e', 'f', 'h']->g",0.6350542990285348,0.3281428716140439,0.9922022263564749,0.4391988555078685,0.9141630901287554,False,0.8283846688347238
"['b', 'h', 'i']->c",0.5416073340402938,0.35631358968546567,0.9952067228679434,0.2589413447782547,0.8497854077253219,False,0.7763391851377974
"['c', 'g', 'i']->j",0.5367930339752419,0.38405990545269936,0.992763011127689,0.3519313304721031,0.9184549356223176,False,0.7477704571283622
"['b', 'e', 'f', 'g', 'i']->d",0.571146232502228,0.2796513728638247,0.9911338699675195,0.5178826895565093,0.8984263233190272,False,0.840747384313504
"['b', 'e', 'i']->c",0.5700343548989517,0.3814143173688479,0.9914981754028338,0.3032904148783978,0.8597997138769671,False,0.7843224450027446
"['b', 'c', 'd', 'e', 'g', 'h', 'i']->a",0.013320488734057112,0.0022544203077039526,0.9902742728729577,0.5608011444921317,0.630901287553648,False,0.8348596619280109
"['b', 'f', 'i']->c",0.5474436485614995,0.38234024161177876,0.9910683768555529,0.28326180257510725,0.844062947067239,False,0.7771024167091931
"['b', 'f', 'g', 'i']->e",0.5495280793025283,0.3090820892093317,0.9921244532860145,0.4134477825464953,0.8884120171673819,False,0.806126026778146
"['b', 'd', 'j']->i",0.4131824939967287,0.3246393994107725,0.9914572422078547,0.16452074391988547,0.7982832618025751,False,0.6555132804879998
"['e', 'f', 'i']->k",0.8539832227280184,0.5698508633490998,0.9971346763514606,0.4449213161659513,0.9670958512160229,False,0.8767479960615133
"['b', 'e']->j",0.27412104439276563,0.24935966331264775,0.9952517493824204,0.1359084406294706,0.8526466380543634,False,0.5074813928768004
"['b', 'h', 'i']->d",0.4238599098558504,0.29732896651210977,0.9920180269790688,0.27610872675250364,0.7982832618025751,False,0.7139752779876365
"['e', 'h']->j",0.20543424482082762,0.22912861943954055,0.9913835624568922,0.08011444921316158,0.8369098712446352,False,0.4551078437516574
"['b', 'e', 'g']->c",0.5206434425137922,0.3556450764553168,0.9908432442831676,0.28612303290414864,0.8311874105865522,False,0.7447273453605898
"['d', 'g', 'h']->c",0.5986365783319607,0.4205640394180612,0.9915063620418296,0.2618025751072961,0.8526466380543634,False,0.7899661409848463
"['e', 'f', 'h', 'j']->i",0.6272185806565722,0.383196661663716,0.9904298190138784,0.3948497854077254,0.9027181688125894,False,0.8251608480317956
"['c', 'e']->j",0.28824929007916933,0.2920393465254187,0.9905034987648409,0.11301859799713954,0.8540772532188841,False,0.5201167241810659
"['c', 'i']->k",0.8524743575205067,0.7430243387649353,0.9974662352307916,0.32474964234620884,0.9585121602288984,False,0.85221742000119
"['b', 'f', 'g']->c",0.4830978601308087,0.3425570945899563,0.9903766058604055,0.2660944206008584,0.8140200286123033,False,0.7296308081677364
"['c', 'd', 'e', 'h', 'i']->g",0.6645124912031868,0.31569822187453156,0.9910479102580634,0.49928469241773965,0.9341917024320457,False,0.8404124466005153
"['b', 'c', 'e', 'g', 'i', 'j']->f",0.5836378182104729,0.2849625525576621,0.9901310066905307,0.5236051502145922,0.9113018597997139,False,0.8447362271003706
"['d', 'i']->k",0.8489603857107119,0.7297208323354015,0.9972206360609168,0.32761087267525035,0.9585121602288984,False,0.8439996398678572
