threshold,dataset,lhs_size,fd,rfi_prime_plus,mu_plus,g3_prime
0.01,wifi_hotspot_location,1,['DOITT_ID']->City,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Latitude']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Longitude']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['X']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Y']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Neighborhood Tabulation Area (NTA)']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.01,wifi_hotspot_location,1,"['OBJECTID']->Location (Lat, Long)",1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Location,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,"['X']->Location (Lat, Long)",1.000,1.000,1.000
0.01,wifi_hotspot_location,1,"['DOITT_ID']->Location (Lat, Long)",1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->Location,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Latitude,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['X']->Latitude,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->Latitude,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Y,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['X']->Y,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->Y,1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Longitude",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Borough",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Provider",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Borough Name",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->BoroCD",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Type",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Postcode",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Council Distrcit",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->SSID",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->BoroCode",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Neighborhood Tabulation Area (NTA)",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Activated",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->X",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->City",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Neighborhood Tabulation Area Code (NTACODE)",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Latitude",1.000,1.000,1.000
0.001,wifi_hotspot_location,2,"['Location (Lat, Long)']->Y",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Longitude",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Borough Name",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Provider",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Type",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->BoroCD",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Postcode",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Borough",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Council Distrcit",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->SSID",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->BoroCode",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Activated",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Neighborhood Tabulation Area (NTA)",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->X",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->City",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Neighborhood Tabulation Area Code (NTACODE)",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Latitude",1.000,1.000,1.000
0.01,wifi_hotspot_location,2,"['Location (Lat, Long)']->Y",1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Provider']->SSID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Provider']->SSID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['BoroCD']->Borough,0.998,0.999,1.000
0.001,wifi_hotspot_location,1,['BoroCD']->Borough Name,0.998,0.999,1.000
0.001,wifi_hotspot_location,1,['BoroCD']->BoroCode,0.998,0.999,1.000
0.01,wifi_hotspot_location,1,['BoroCD']->Borough Name,0.998,0.999,1.000
0.01,wifi_hotspot_location,1,['BoroCD']->Borough,0.998,0.999,1.000
0.01,wifi_hotspot_location,1,['BoroCD']->BoroCode,0.998,0.999,1.000
0.001,wifi_hotspot_location,1,['Postcode']->Borough,0.998,0.998,0.999
0.001,wifi_hotspot_location,1,['Postcode']->Borough Name,0.998,0.998,0.999
0.001,wifi_hotspot_location,1,['Postcode']->BoroCode,0.998,0.998,0.999
0.01,wifi_hotspot_location,1,['Postcode']->Borough Name,0.998,0.998,0.999
0.01,wifi_hotspot_location,1,['Postcode']->Borough,0.998,0.998,0.999
0.01,wifi_hotspot_location,1,['Postcode']->BoroCode,0.998,0.998,0.999
0.001,wifi_hotspot_location,1,['City']->Borough,0.996,0.998,0.999
0.001,wifi_hotspot_location,1,['City']->Borough Name,0.996,0.998,0.999
0.001,wifi_hotspot_location,1,['City']->BoroCode,0.996,0.998,0.999
0.01,wifi_hotspot_location,1,['City']->Borough Name,0.996,0.998,0.999
0.01,wifi_hotspot_location,1,['City']->Borough,0.996,0.998,0.999
0.01,wifi_hotspot_location,1,['City']->BoroCode,0.996,0.998,0.999
